user_id,flag,severity,explanation
U0130,Low savings discipline,medium,Average savings rate is 1.2%.
U0131,Thin cashflow buffer,medium,Free cashflow is only 2.1% of average income.
U0132,Thin cashflow buffer,medium,Free cashflow is only 0.4% of average income.
U0133,Thin cashflow buffer,medium,Free cashflow is only 4.2% of average income.
U0134,Variable income,medium,Income volatility is material with a coefficient of variation of 0.25.
U0135,Elevated debt burden,medium,Debt payments are above a conservative affordability threshold at 22.6%.
U0135,Negative free cashflow,high,Average monthly expenses and savings transfers exceed income.
U0135,Low savings discipline,medium,Average savings rate is 0.8%.
U0136,Thin cashflow buffer,medium,Free cashflow is only 1.5% of average income.
U0137,Thin cashflow buffer,medium,Free cashflow is only 0.1% of average income.
U0138,Thin cashflow buffer,medium,Free cashflow is only 3.2% of average income.
U0139,Variable income,medium,Income volatility is material with a coefficient of variation of 0.24.
U0140,Elevated debt burden,medium,Debt payments are above a conservative affordability threshold at 24.4%.
U0140,Negative free cashflow,high,Average monthly expenses and savings transfers exceed income.
U0140,Low savings discipline,medium,Average savings rate is 0.4%.
U0141,Thin cashflow buffer,medium,Free cashflow is only 3.2% of average income.
U0142,Thin cashflow buffer,medium,Free cashflow is only 2.4% of average income.
U0143,Thin cashflow buffer,medium,Free cashflow is only 0.4% of average income.
U0143,Low savings discipline,medium,Average savings rate is 4.8%.
U0143,High discretionary spend,medium,Discretionary spending represents 33.1% of income.
U0144,No major risk flags,low,The synthetic profile does not show a dominant credit readiness weakness.
U0145,Elevated debt burden,medium,Debt payments are above a conservative affordability threshold at 22.2%.
U0145,Negative free cashflow,high,Average monthly expenses and savings transfers exceed income.
U0145,Low savings discipline,medium,Average savings rate is 0.7%.
U0146,Thin cashflow buffer,medium,Free cashflow is only 2.0% of average income.
U0147,Thin cashflow buffer,medium,Free cashflow is only 2.5% of average income.
U0148,Thin cashflow buffer,medium,Free cashflow is only 0.7% of average income.
U0148,Low savings discipline,medium,Average savings rate is 4.0%.
U0148,High discretionary spend,medium,Discretionary spending represents 33.2% of income.
U0149,Highly variable income,high,"Income coefficient of variation is 0.38, reducing repayment predictability."
U0150,Elevated debt burden,medium,Debt payments are above a conservative affordability threshold at 24.7%.
U0150,Negative free cashflow,high,Average monthly expenses and savings transfers exceed income.
U0150,Low savings discipline,medium,Average savings rate is 0.4%.
